"CURRENCY_ID","CURRENCY_CODE","CURRENCY_CURRENCY_CODE","CURRENCY_NAME","CURRENCY_SUPPORTED"
"113","RON","RON","RON","true"
"114","LKR","LKR","LKR","true"
"115","NGN","NGN","NGN","true"
"116","CRC","CRC","CRC","true"
"117","CZK","CZK","CZK","true"
"118","PKR","PKR","PKR","true"
"119","XCD","XCD","XCD","true"
"120","ANG","ANG","ANG","true"
"121","HTG","HTG","HTG","true"
"122","BHD","BHD","BHD","true"
"123","KZT","KZT","KZT","true"
"124","SRD","SRD","SRD","true"
"125","SZL","SZL","SZL","true"
"126","LTL","LTL","LTL","true"
"127","SAR","SAR","SAR","true"
"128","TTD","TTD","TTD","true"
"129","YER","YER","YER","true"
"130","MVR","MVR","MVR","true"
"131","AFN","AFN","AFN","true"
"132","INR","INR","INR","true"
"133","AWG","AWG","AWG","true"
"134","KRW","KRW","KRW","true"
"135","NPR","NPR","NPR","true"
"136","JPY","JPY","JPY","true"
"137","MNT","MNT","MNT","true"
"138","AOA","AOA","AOA","true"
"139","PLN","PLN","PLN","true"
"140","GBP","GBP","GBP","true"
"141","SBD","SBD","SBD","true"
"142","HUF","HUF","HUF","true"
"143","BYR","BYR","BYR","true"
"144","BIF","BIF","BIF","true"
"145","MWK","MWK","MWK","true"
"146","MGA","MGA","MGA","true"
"147","XDR","XDR","XDR","true"
"148","BZD","BZD","BZD","true"
"149","BAM","BAM","BAM","true"
"150","EGP","EGP","EGP","true"
"151","MOP","MOP","MOP","true"
"152","NAD","NAD","NAD","true"
"153","NIO","NIO","NIO","true"
"154","PEN","PEN","PEN","true"
"155","NZD","NZD","NZD","true"
"156","WST","WST","WST","true"
"157","CLF","CLF","CLF","true"
"158","BRL","BRL","BRL","true"
